item_id,date,p10,p50,p90
217,2020-05-10T00:00:00Z,1023.5745239258,1095.5865478516,1163.2027587891
217,2020-05-11T00:00:00Z,925.9660644531,1042.8206787109,1144.7615966797
217,2020-05-12T00:00:00Z,943.5710449219,1043.9620361328,1156.4393310547
217,2020-05-13T00:00:00Z,918.9348144531,1047.4034423828,1154.16796875
217,2020-05-14T00:00:00Z,892.3654174805,1043.6086425781,1168.5057373047
217,2020-05-15T00:00:00Z,934.6278076172,1044.0734863281,1177.5541992188
217,2020-05-16T00:00:00Z,955.5869140625,1063.4509277344,1168.6815185547
159,2020-05-03T00:00:00Z,1153.6796875,1210.3669433594,1265.6356201172
159,2020-05-04T00:00:00Z,1139.4987792969,1201.1989746094,1262.9964599609
159,2020-05-05T00:00:00Z,1133.3251953125,1199.8078613281,1278.1651611328
159,2020-05-06T00:00:00Z,1084.0700683594,1200.1098632812,1298.6510009766
159,2020-05-07T00:00:00Z,1108.9931640625,1201.4510498047,1279.9757080078
159,2020-05-08T00:00:00Z,1124.8383789062,1213.7896728516,1281.7890625
159,2020-05-09T00:00:00Z,1146.0908203125,1213.8376464844,1273.0931396484
159,2020-05-10T00:00:00Z,1139.912109375,1200.0382080078,1278.7600097656
159,2020-05-11T00:00:00Z,1104.0721435547,1184.3278808594,1285.9870605469
159,2020-05-12T00:00:00Z,1135.9936523438,1200.0516357422,1278.154296875
159,2020-05-13T00:00:00Z,1123.0963134766,1194.2960205078,1261.2233886719
159,2020-05-14T00:00:00Z,1097.439453125,1181.3977050781,1252.4775390625
159,2020-05-15T00:00:00Z,1094.1307373047,1182.9376220703,1277.9197998047
159,2020-05-16T00:00:00Z,1115.6789550781,1190.4702148438,1276.3642578125
97,2020-05-03T00:00:00Z,1386.5277099609,1432.9721679688,1483.7734375
97,2020-05-04T00:00:00Z,1333.2897949219,1414.1265869141,1487.2408447266
97,2020-05-05T00:00:00Z,1344.4688720703,1411.37109375,1496.84375
97,2020-05-06T00:00:00Z,1337.6009521484,1410.6940917969,1503.4730224609
97,2020-05-07T00:00:00Z,1332.9499511719,1405.41796875,1513.4782714844
